scientific_name,ott_name,closest_relative
Tapirus indicus,Tapirus indicus,Tapirus indicus
Pelodytes ibericus,Pelodytes ibericus,Mus musculus
Candoia aspera,Candoia aspera,Thamnophis sirtalis
Heliangelus exortis,Heliangelus exortis,Saxicola maurus
Leptosomus discolor,Leptosomus discolor,Bubo scandiacus
Saccopteryx bilineata,Saccopteryx bilineata,Rousettus aegyptiacus
Thomomys bottae,Thomomys bottae,Mus musculus
Tiliqua scincoides,Tiliqua scincoides,Thamnophis sirtalis
Saccopteryx leptura,Saccopteryx leptura,Rousettus aegyptiacus
Chiloscyllium plagiosum,Chiloscyllium plagiosum,Mus musculus
Cololabis saira,Cololabis saira,Poecilia reticulata
Lithobates pipiens,Lithobates pipiens,Mus musculus
Pantherophis spiloides,Pantherophis spiloides,Thamnophis sirtalis
Chrysemys picta marginata,Chrysemys picta marginata,Saxicola maurus
Graptemys geographica,Graptemys geographica,Saxicola maurus
Chelydra serpentina,Chelydra serpentina,Saxicola maurus
Chrysemys picta bellii,Chrysemys picta bellii,Saxicola maurus
Phoxinus phoxinus,Phoxinus phoxinus,Cyprinus carpio
Carcharodon carcharias,Carcharodon carcharias,Mus musculus
Columba livia,Columba livia,Saxicola maurus
Heptranchias perlo,Heptranchias perlo,Mus musculus
Eleutherodactylus coqui,Eleutherodactylus coqui,Mus musculus
Hydrolagus colliei,Hydrolagus,Mus musculus
Ammospiza maritima maritima,Ammospiza maritima,Taeniopygia guttata
Xenopus petersii,Xenopus petersii,Mus musculus
Pelobates fuscus,Pelobates fuscus,Mus musculus
Passer domesticus,Passer domesticus,Taeniopygia guttata
Caloenas nicobarica,Caloenas nicobarica,Saxicola maurus
Apteryx mantelli,Apteryx mantelli,Rhea pennata
Dromaius novaehollandiae,Dromaius novaehollandiae,Rhea pennata
Camelus dromedarius,Camelus dromedarius,Vicugna pacos
Chlamydotis macqueenii,Chlamydotis macqueenii,Saxicola maurus
Equus caballus,Equus caballus,Tapirus indicus
Narcine bancroftii,Narcine bancroftii,Mus musculus
Equus przewalskii,Equus przewalskii,Tapirus indicus
Heterodontus francisci,Heterodontus francisci,Mus musculus
Amia calva,Amia calva,Cyprinus carpio
Mixophyes fleayi,Mixophyes fleayi,Mus musculus
Clemmys guttata,Clemmys guttata,Saxicola maurus
Buteo regalis,Buteo regalis,Gyps fulvus
Marmota vancouverensis,Marmota vancouverensis,Mus musculus
